BlackBerry|BlackBerry MOBILE
msnBOT|MSN BOT
msnbot|MSN BOT
GoogleBOT|Google BOT
Googlebot|Google BOT
Yahoo|Yahoo BOT
Slurp|Yahoo Slurp BOT
YodaoBot|Yodao BOT
CazoodleBOT|Cazoodle BOT
Ask Jeeves/Teoma|Ask Jeeves BOT
ia_archiver|Archive.org BOT
entireweb|speedy_spider BOT
WebAlta|WebAlta BOT
globalspec.com/Ocelli|globalspec BOT
Baiduspider|Baiduspider BOT 
searchme.com|searchme.com BOT 
OpenAcoon|OpenAcoon BOT 
ScoutJet|ScoutJet BOT 
DoCoMo|DoCoMo BOT 
panscient|Prancient BOT 
Java/|Java BOT 
Mail.Ru/|Mail.Ru BOT 
Wget/|Wget BOT 
ShopWiki|ShopWiki BOT 
W3C_Validator|W3C Validator BOT 
BOT|BOT 
diavola|BOT 
Crawler|Crawler BOT 
crawler|Crawler BOT 
POE-Component-|Bad BOT
Morfeus|BAD Bot
BDFetch|brandimensions BOT
libwww-perl|PERL Script BOT
IEAutoDiscovery|IEAutoDiscovery BOT
Jakarta Commons-HttpClient|Jakarta Commons
Sosospider|Sosospider BOT
Exabot/|Exabot BOT
discobot|Discovery BOT
FollowSite Bot|FollowSite BOT
MJ12bot/|MJ12 BOT
Tagoobot|Tagoobot BOT
MLBot|[ML BOT
robot|Robot BOT
Toata|Toata BAD BOT
SheenBot|Sheen BOT
Yandex|Yandex BOT
Search17Bot|Search17 BOT
seoprofiler.com|seoprofiler.com BOT
Nokia|Nokia MOBILE
IEMobile|IE MOBILE
MSIE 6.0|MSIE-6.0
MSIE 7.0|MSIE-7.0
MSIE 8.0|MSIE-8.0
Firefox|Firefox
Safari|Safari
WebTV|WebTV
Opera/|Opera
bingbot|Bing BOT
iPhone|iPhone
